,Item name,Item Description,Item price,Item image url
32,Milanese,"Pasta sautéed with chicken and mushroom tossed in a creamy tomato sauce, garnished with semidried tomatoes.",AED 46.00,https://images.deliveryhero.io/image/talabat/Menuitems/2FC828CF9399E6FD07851DE0B80AC06B?width=172&amp;height=172
33,Bolognese,A hearty meat sauce from bologna made with ground beef simmered in a flavorful tomato sauce.,AED 46.00,https://images.deliveryhero.io/image/talabat/Menuitems/4CC4776167E270FD2418156AD4F5392A?width=172&amp;height=172
34,Frutti Di Mare,"Prawns, calamari, crab meat tossed with pasta 
& lemon zest in a creamy garlic sauce",AED 52.00,https://images.deliveryhero.io/image/talabat/Menuitems/726428C2C38836B9765C5B3C4CB3E686?width=172&amp;height=172
35,Alfredo Con Pollo,"A simple and delicious cream sauce with chicken, mushrooms, onions and cherry tomatoes.",AED 48.00,https://images.deliveryhero.io/image/talabat/Menuitems/025A1A6D00DD451D00C5D2E7841DFB4A?width=172&amp;height=172
36,Gamberetti,"Pasta tossed with sautéed prawns, kalamata olives, garlic and baby rockets in a rich tomato sauce.",AED 54.00,https://images.deliveryhero.io/image/talabat/Menuitems/4A40AF2D880AE4613F99DA2F72BF5155?width=172&amp;height=172
37,Arrabbiata,"A robust and spicy tomato sauce with garlic, chili and olive oil.",AED 40.00,https://images.deliveryhero.io/image/talabat/Menuitems/F34CDAD616490925FE32D171D8868C73?width=172&amp;height=172
38,Pesto,"A traditional ligurian sauce made with ground basil, garlic, pine kernels, parmesan and olive oil.",AED 45.00,https://images.deliveryhero.io/image/talabat/Menuitems/7BA92F03B44A9E49151CC67CA7FDBE13?width=172&amp;height=172
39,Genovese,Pasta tossed in a light cream sauce with prawns and seasoned breadcrumbs.,AED 52.00,https://images.deliveryhero.io/image/talabat/Menuitems/5328ABF7283A91F0D03111B73830C2F9?width=172&amp;height=172
40,Carbonara Con Salsiccia,"Pasta tossed in a cream sauce made with egg yolk, parmesan, beef bacon and beef sausages.",AED 48.00,https://images.deliveryhero.io/image/talabat/Menuitems/8AEB41E75BCF991D491324BA55B6AA84?width=172&amp;height=172
41,Pepperoncino con Pollo,"Pasta tossed in olive oil with chicken, garlic, 
mushrooms, chili, sundried tomato & parsley",AED 45.00,https://images.deliveryhero.io/image/talabat/Menuitems/F4D87A17AB660FDB2E5F50298A185E1A?width=172&amp;height=172
42,Aglio e Olio,"Pasta tossed in olive oil with roasted garlic, 
parmesan, parsley & a hint of chilli",AED 40.00,https://images.deliveryhero.io/image/talabat/Menuitems/AA7B973E8BAB8CFE2146C99D166D7086?width=172&amp;height=172
43,Melanzane,"Pasta with fried eggplant tossed in a rich tomato sauce, 
the perfect vegetarian meal.",AED 41.00,https://images.deliveryhero.io/image/talabat/Menuitems/FCD56AEE214457471E55F7267833BC5F?width=172&amp;height=172
44,Siciliana,"A spicy creamy sauce with sautéed beef sausages, 
mushrooms, cherry tomatoes, onions, and chili",AED 45.00,https://images.deliveryhero.io/image/talabat/Menuitems/B608DA91B79400BBA756C71FCFEA1BB4?width=172&amp;height=172
45,Positano,"Pasta tossed with garlic shrimps, parmesan, 
chili, lemon, olive oil & parsley",AED 54.00,https://images.deliveryhero.io/image/talabat/Menuitems/87CBF738577F3858660DCB842A81E279?width=172&amp;height=172
46,Rustica,Pasta tossed with prawns in mild spicy tomato and basil sauce.,AED 48.00,https://images.deliveryhero.io/image/talabat/Menuitems/E4051C1F6545EFC4814F49CA18D97642?width=172&amp;height=172
47,Oceano,"Pasta tossed in a mild tomato sauce with mixed seafood, fresh herbs 
and garlic",AED 54.00,https://images.deliveryhero.io/image/talabat/Menuitems/9BED1F5C35C2A6F79883F1608209AD69?width=172&amp;height=172
48,Primavera,"Pasta tossed in cream sauce with peas, mushroom, broccoli, grilled baby 
marrow & roasted red pepper",AED 52.00,https://images.deliveryhero.io/image/talabat/Menuitems/9EB4F52FD9B72FDF189F57CF3E38949F?width=172&amp;height=172
49,Brisket Fettuccine,"Beef brisket braised in a hearty tomato sauce and tossed
with fettuccine.",AED 55.00,https://images.deliveryhero.io/image/talabat/Menuitems/E2176ED5AE2B7B6EB0388633E40D4A68?width=172&amp;height=172
